Title,Location,Model ,KM,Fuel Type,CC,Specs,Price
Honda Accord 2005 CL7 for Sale,Karachi,2005,"110,000",Petrol,2000,Automatic,23lacs
Hyundai Sonata 2021 2.5 for Sale,Gujranwala,2021,"45,000",Petrol,2500,Automatic,88lacs
Honda Civic Rebirth 2013 VTi Oriel 1.8 i-VTEC for Sale,Lahore,2013,"170,000",Petrol,1800,Manual,24.75lacs
Suzuki Cultus 2016 Limited Edition for Sale,Lahore,2016,"96,000",Petrol,1000,Manual,15.45lacs
Suzuki Alto 2019 VXR for Sale,Karachi,2019,"55,000",Petrol,660,Manual,22.25lacs
Prince Pearl 2023 MT for Sale,Karachi,2023,"11,000",Petrol,800,Manual,13.45lacs
Honda Civic Reborn 2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,Rawalpindi,2011,"156,000",Petrol,1800,Automatic,25.3lacs
Toyota Raize 2020 Z for Sale,Rawalpindi,2020,"80,000",Petrol,1000,Automatic,59.5lacs
Suzuki Alto 2021 L Upgrade for Sale,Rawalpindi,2021,"13,000",Petrol,660,Automatic,32.25lacs
Toyota Land Cruiser 2003 for Sale,Lahore,2003,"253,000",Diesel,4200,Manual,1.2crore
Toyota Land Cruiser 2008 for Sale,Lahore,2008,"206,000",Diesel,4500,Automatic,2.5crore
Toyota Land Cruiser 6th (J100) Generation 2004 VX 4.2D for Sale,Lahore,2004,"251,000",Diesel,4200,Manual,1.45crore
Suzuki Ravi 2016 Euro II for Sale,Lahore,2016,"91,288",Petrol,800,Manual,10.1lacs
Suzuki Mehran 2016 VXR Euro II for Sale,Lahore,2016,"54,000",Petrol,796,Manual,9.6lacs
Toyota Corolla 8th (E110) Generation 1995 SE Limited for Sale,Peshawar,1995,"18,999",Petrol,1500,Manual,22.5lacs
Honda Civic 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,Karachi,2015,"119,000",Petrol,1800,Automatic,35lacs
Mercedes Benz E Class 1991 for Sale,Rawalpindi,1991,"100,000",Petrol,2500,Automatic,12.5lacs
Suzuki Alto 2022 VXL AGS for Sale,Lahore,2022,"30,500",Petrol,660,Automatic,28.5lacs
Toyota Corolla 2013 XLi VVTi Limited Edition for Sale,Sheikhupura,2013,"122,000",Petrol,1300,Manual,19.7lacs
Suzuki Wagon R 2016 VXL for Sale,Multan,2016,"100,000",Petrol,1000,Manual,18.8lacs
Suzuki Mehran 2017 VXR Euro II for Sale,Faisalabad,2017,"80,000",Petrol,796,Manual,13lacs
Hyundai Santro 2005 Club for Sale,Lahore,2005,"77,000",Petrol,1000,Manual,10lacs
Suzuki Wagon R 2019 VXL for Sale,Bahawalpur,2019,"52,000",Petrol,1000,Manual,24.5lacs
Suzuki Alto 2021 for Sale,Islamabad,2021,"20,200",Petrol,660,Manual,33lacs
Honda Civic 2017 Oriel 1.8 i-VTEC CVT for Sale,Mandi,2017,"152,000",Petrol,1800,Automatic,3.7lacs
Toyota Vitz 2006 F 1.0 for Sale,Rawalpindi,2006,"2,000",Petrol,1000,Automatic,20lacs
Suzuki Wagon R 2017 for Sale,Daska,2017,"125,000",Petrol,660,Automatic,22.8lacs
